Row Number,Card ID,Name,Faction,Rarity,Type,Subtype,Cost,Power,Toughness,Abilities,Flavor Text,Set/Edition
50,SRP-BR-030-C-U,Devoted Flagellant,COW,Common,Creature,Unit,1,2,1,"[Flagellate] Attack: you may deal 1 dmg to this; if you do, it gets +2/+0 this combat. Tap: prevent the next 1 dmg to a friendly unit.",‘Pennance through action. Flesh for flesh.’,SRP: Bitterroot
51,SRP-BR-011-C-S,Arch Deacon Veyra,COW,Uncommon,Creature,Specialist,2,3,2,"[Sermon] Other COW Units get +1/+0 while you have ≥3 total Faith among your Units.
[Litany] (Pay: 1 Faith) → Scry 2. When this leaves play, prevent the next 1 dmg to a friendly unit.",Arch Deacon Veyra is rumored to have converted an entire human settlement without shedding any blood.,SRP: Bitterroot
52,SRP-BR-012-C-S,Warpriest Korr,COW,Uncommon,Creature,Specialist,3,3,2,"[Zealotry] Attack: if a Unit died this turn, this gets +2/+0 and Menace this combat.
[Holy Task] (Pay: 2 Faith) → Create a 1/1 Penitent. Tap: tap target enemy unit.",Zealotry is duty. Be the drop of water responsible for the tsunami.,SRP: Bitterroot
53,SRP-BR-013-C-S,Hymn Bearer Isha,COW,Uncommon,Creature,Specialist,2,3,2,"[Hymn] Enter: draw a card, then discard a card.
[Carry the Tune] (Pay: 1 Faith) → Target Unit gets +1/+0 this turn. Tap: prevent the next 1 dmg to a friendly unit.","“From torment we find strength, from sacrifice we find truth, in you we find eternity.”",SRP: Bitterroot
54,SRP-BR-014-C-S,Ascendant-in-Training,COW,Uncommon,Creature,Specialist,4,3,2,"[Rite of Ascension] (Pay: 3 Faith, Sacrifice a Unit) → Create a 4/2 Ascendant with Menace and Lifelink.
[Practice the Path] End of turn: if you sacrificed this turn, put a Faith on this. If you control another Faction card, tap target enemy unit. Tap: add 1 Resource of any type.",Mutants walking the path to enlightenment adhere to strict routines and ceremonies.,SRP: Bitterroot
55,SRP-BR-015-C-S,Torch Preacher Varna,COW,Uncommon,Creature,Specialist,3,3,2,"[Torch Ritual] (Pay: 2 Faith) → Deal 2 dmg to target Unit; you gain 1 HP.
[Keep the Flame] Enter: put a Faith on up to two different Units. At the start of combat, discard 1 card. If you control another Faction card, heal 2 dmg from a target unit.",Nothing stands in Varna's path...nothing.,SRP: Bitterroot
56,SRP-BR-007-C-E,Bishop Altheron,COW,Rare,Creature,Elite,4,5,3,"[Bishop’s Edict] Enter: tap up to two enemy Units.
[Judgment] Start of combat: if you have ≥3 Faith, an enemy Unit gets −1/−0 this turn. At the start of combat, search your deck for a Resource.","'And as it is such, so also as such is it unto you.'",SRP: Bitterroot
57,SRP-BR-008-C-E,Zealot of the Spire,COW,Rare,Creature,Elite,6,5,3,"[Meat for the Spire] Attack: you may sacrifice another Unit; if you do, create a 4/2 Ascendant token tapped and attacking.
[Voracious Zeal] This has Lifelink while you control an Ascendant. If you control another Faction card, return target card from graveyard to your hand.",The spire requires additional mass. Bring me more meat.,SRP: Bitterroot
58,SRP-BR-009-C-E,Angel Karthis,COW,Rare,Creature,Elite,5,5,3,"[Angel’s Cry] Enter: deal 2 dmg to each enemy Unit that attacked last turn.
[Aegis of Faith] Ward 1; if you have ≥4 Faith on your board, Ward 2 instead. When this leaves play, heal 2 dmg from a target unit. Once per turn, prevent the next 1 dmg to a friendly unit.","“A sound torn from the depths, half beast and half fury, that shakes bone and soul alike.”",SRP: Bitterroot
59,SRP-BR-005-C-M,Warlock,COW,Legendary,Creature,Myth,8,7,5,"[Cult Founder] End of turn: create a 1/1 Penitent, then you may sacrifice a Unit: put a Faith on Warlock.
[Ascend] (Pay: 4 Faith, Sacrifice a Unit) → Create a 4/2 Ascendant with Menace and Lifelink. When this leaves play, tap target enemy unit.",Those who dare change the future must reconcil their past.,SRP: Bitterroot
60,SRP-BR-006-C-M,Angelic Avatar,COW,Legendary,Creature,Myth,9,7,5,"[Avatar’s Fury] Attack: deal 2 dmg divided as you choose among up to two Units.
[Bone Spears] This has Menace and First Strike while your HP ≤ 10. Whenever this enters play, add 1 Resource of any type.","Rumor has it an original alpha still roams the land. Unshackled from its collar and highly intelligent, this beast is a force to reckon with.",SRP: Bitterroot
61,SRP-BR-001-C-S,Rust Runner Scavenger,Survivors,Common,Creature,Survivor,1,2,1,"[Haste]
[Scavenge] End of turn: if another friendly Unit died this turn, gain 1 Supplies. Tap: create a 1/1 Token under your control.",You can hear their engines before you see the smoke but you know there is no running,SRP: Bitterroot
62,SRP-BR-002-C-S,Forager Anya,Survivors,Common,Creature,Survivor,1,2,1,"[Forage] Enter: look at the top 2 cards of your deck; you may put a Resource among them into your hand.
[Fieldcraft] Start of combat: if you gained Supplies this turn, this gets +1/+1 this combat. At the start of combat, prevent the next 1 dmg to a friendly unit.",'Finding non-infected flora is becoming more difficult.',SRP: Bitterroot
63,SRP-BR-003-C-S,Hunter Jorl,Survivors,Common,Creature,Survivor,2,2,1,"[Tracker] Attack: target enemy Unit gets −1 ATK this combat.
[Skin & Bone] End of turn: if a Unit was damaged this turn, gain 1 Supplies. At the start of combat, create a 1/1 Token under your control.",‘Tracking the most dangerous game.’,SRP: Bitterroot
64,SRP-BR-004-C-S,Scrap Farmer Timmons,Survivors,Common,Creature,Survivor,1,2,1,"[Scrap Haul] Enter: gain 1 Supplies.
[Jury-Rig] (Pay: 1 Supplies) → Target Unit gets +1/+2 and Ward 1 this turn. When this leaves play, add 1 Resource of any type.",‘Haulin' ass for some scrap.’,SRP: Bitterroot
65,SRP-BR-005-C-S,River Trader Luth,Survivors,Common,Creature,Survivor,2,2,1,"[River Trade] Enter: (Pay: 1 Supplies) → Draw a card.
[Haggle] End of turn: you may discard a card; if you do, gain 1 Supplies. Tap: discard 1 card. If you control another Faction card, add 1 Resource of any type.","‘Tide goes in, tide goes out, aint nobody who can explain that.’",SRP: Bitterroot
66,SRP-BR-006-C-S,Woodsman Darro,Survivors,Common,Creature,Survivor,2,2,1,"[Woodsense] This has Reach.
[Timberline] Start of combat: if you control another Survivor, this gets +1 ATK this combat. If you control another Faction card, add 1 Resource of any type.",‘In 100 more years these forests will yield some fine lumber.’,SRP: Bitterroot
67,SRP-BR-007-C-S,Campfire Storyteller,Survivors,Common,Creature,Survivor,2,2,1,"[Campfire Stories] Enter: other Survivors get +1/+1 this turn. If you control another Faction card, prevent the next 1 dmg to a friendly unit. Pay 1 Supplies → create a 1/1 Token under your control.",‘Pull up a chair and listen closely...’,SRP: Bitterroot
68,SRP-BR-008-C-S,Wasteland Cook,Survivors,Common,Creature,Survivor,2,2,1,"[Hearty Stew] Enter: heal 2 to up to two different Units.
[Leftovers] End of turn: if you healed this turn, gain 1 Supplies. Whenever this enters play, add 1 Resource of any type.",‘By now anyone can cook a good stew. Just throw what ya got in a pot and boil it up...’,SRP: Bitterroot
69,SRP-BR-009-C-S,Wandering Peddler,Survivors,Common,Creature,Survivor,2,2,1,"[Pack Wares] Enter: draw a card, then discard a card.
[Barter] (Pay: 2 Supplies) → Draw a card. You may discard a card to gain 1 Supplies. At the start of combat, create a 1/1 Token under your control.","‘I have what you need, come close and take a look.’",SRP: Bitterroot
70,SRP-BR-010-C-S,Nomad Scout,Survivors,Common,Creature,Survivor,2,2,1,"[Scout Ahead] Attack: you may Scry 1.
[Signal] Start of combat: another Survivor gets +1 ATK this combat. If you control another Faction card, heal 2 dmg from a target unit.",‘Just keeps getting worse out there.’,SRP: Bitterroot
71,SRP-BR-016-C-S,Quartermaster Brigg,Survivors,Uncommon,Creature,Specialist,2,3,2,"[Quartermaster] Enter: Draw a card.
[Ready Up] (Pay: 1 Supplies) → Ready target Survivor. If you control another Faction card, return target card from graveyard to your hand.",We got another shipment on its way so sit tight.,SRP: Bitterroot
72,SRP-BR-017-C-S,Medic Elena,Survivors,Uncommon,Creature,Specialist,2,3,2,"[Angel of Mercy] Enter: heal 3 to target Unit.
[Stitch Kit] (Pay: 2 Supplies, Tap) → Heal 3 to target Unit. Tap: reveal the top card of your deck, you may play it. At the start of combat, gain 1 Energy.",Some say Elena's nickname is the Angel of Mercy.,SRP: Bitterroot
73,SRP-BR-018-C-S,Tinkerer Holt,Survivors,Uncommon,Creature,Specialist,3,3,2,"[Tinker] Enter: gain 1 Supplies.
[Make Do] (Pay: 1 Supplies) → Create a 2/2 Jury-Rigged token with Ward 1 this turn. If you control another Faction card, search your deck for a Resource.",Bring Holt some scrap a few nails and a handful of bullets and he will make you whatever you want.,SRP: Bitterroot
74,SRP-BR-019-C-S,Smuggler Jax,Survivors,Uncommon,Creature,Specialist,4,3,2,"[Smuggle] Enter: Search your deck for a resource of your choice and create a 2/2 Token under your control. (Pay: 1 Supplies, Tap, Sacrifice) → draw a card; then gain 1 Supplies”.
[Look the Other Way] (Pay: 2 Supplies) → Target Unit can’t block this turn.",Got an eye for something special?,SRP: Bitterroot
75,SRP-BR-020-C-S,Outfitter Mara,Survivors,Uncommon,Creature,Specialist,4,3,2,"[Outfit] Enter: target Survivor gets +1/+1 and Ward 1 until end of turn.
[Stitch & Style] (Pay: 2 Supplies) → Ready target Survivor. If you control another Faction card, create a 1/1 Token under your control.","'Just because it is the end of the world, doesn't mean you can't look good.'",SRP: Bitterroot
76,SRP-BR-010-C-E,Outpost Leader Kell,Survivors,Rare,Creature,Elite,4,5,3,"[Hold the Line] Other Survivors you control have Vigilance.
[Barricade] (Pay: 2 Supplies) → Prevent 2 dmg divided among up to two Units this turn. If you control another Faction card, reveal the top card of your deck, you may play it.",The outpost led by Kell has stood against the storm and held strong. Not many attack it nowdays.,SRP: Bitterroot
77,SRP-BR-011-C-E,Community Defender Ryn,Survivors,Rare,Creature,Elite,6,5,3,"[Famed Defender] Enter: ready all Survivors that blocked last turn.
[Stand Down] (Pay: 3 Supplies) → Tap up to two enemy Units. Tap: gain 1 Energy. Whenever this enters play, prevent the next 1 dmg to a friendly unit.","When the enemy learns Ryn is on your side, they surrender immediately.",SRP: Bitterroot
78,SRP-BR-012-C-E,Gatekeeper of Hollow Falls,Survivors,Rare,Creature,Elite,4,5,3,"[Gate Tax] Start of combat: tap target enemy Unit unless its controller pays 1 Resource.
[Keeper’s Key] (Pay: 2 Supplies) → Draw a card; then discard a card. Tap: gain 1 Energy.",The gatekeeper is well respected among the wasteland survivors. They grant or refuse entry.,SRP: Bitterroot
79,SRP-BR-007-C-M,The Mayor of Bitterroot,Survivors,Legendary,Creature,Myth,7,7,5,"[Valley’s Mandate] End of turn: if a Survivor died this turn, create a 2/2 Town Guard token.
[Civic Rally] (Pay: 3 Supplies) → Your Units get +1/+1 this turn. Tap: add 1 Resource of any type. Pay 1 Supplies → search your deck for a Resource.",The Mayor of Bitterroot is more of a legend than a person. The title is granted by the valley.,SRP: Bitterroot
80,SRP-BR-008-C-M,The Bitterroot Warden,Survivors,Legendary,Creature,Myth,7,7,5,"[Warden’s Call] Enter: tap up to two enemy Units.
[Rooted Power] While you control three or more Survivors, this has Ward 2. Whenever this enters play, create a 1/1 Token under your control.","When the Warden of Bitterroot stirs, its presence is felt throughout the land.",SRP: Bitterroot
